CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Sunday 17 May 2020
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Collins St (North),10,14,7,3,4,58,23,22,27,65,113,208,226,228,259,312,208,177,79,N/A,N/A,N/A,N/A,N/A
Collins Place (South),7,8,2,5,5,3,15,9,44,78,76,96,137,116,189,102,136,82,43,N/A,N/A,N/A,N/A,N/A
Collins Place (North),1,3,1,N/A,N/A,6,6,5,18,24,38,54,47,53,53,67,52,46,12,N/A,N/A,N/A,N/A,N/A
Chinatown-Swanston St (North),14,34,20,5,3,5,3,9,21,24,85,203,275,353,386,412,377,294,255,N/A,N/A,N/A,N/A,N/A
Chinatown-Lt Bourke St (South),7,8,1,4,N/A,1,4,3,8,24,45,41,120,141,116,107,86,78,74,N/A,N/A,N/A,N/A,N/A
Bourke St-Russell St (West),25,8,12,9,9,14,30,27,40,65,105,203,388,459,397,336,358,385,302,N/A,N/A,N/A,N/A,N/A
Flinders St-Elizabeth St (East),78,105,77,39,45,71,123,146,224,404,517,803,1146,1345,1406,1457,1532,1247,945,N/A,N/A,N/A,N/A,N/A
Spencer St-Collins St (South),12,28,6,15,24,24,10,12,9,48,70,47,93,84,105,96,92,83,96,N/A,N/A,N/A,N/A,N/A
Spencer St-Collins St (North),105,40,33,10,12,40,43,80,137,180,225,257,294,288,356,358,361,359,237,N/A,N/A,N/A,N/A,N/A
Melbourne Convention Exhibition Centre,44,24,19,21,15,13,42,147,320,409,647,893,1017,1158,1145,1135,853,608,255,N/A,N/A,N/A,N/A,N/A
QV Market-Elizabeth St (West),70,55,38,42,29,35,39,69,153,294,512,715,908,1022,937,656,421,267,227,N/A,N/A,N/A,N/A,N/A
QV Market-Peel St,10,1,2,3,2,4,15,25,73,106,205,239,270,232,203,181,112,89,64,N/A,N/A,N/A,N/A,N/A
The Arts Centre,28,20,24,44,26,37,42,50,108,170,237,330,436,440,N/A,341,344,318,170,N/A,N/A,N/A,N/A,N/A
St Kilda Rd-Alexandra Gardens,9,2,N/A,1,2,2,14,26,67,119,201,300,370,443,464,505,405,279,92,N/A,N/A,N/A,N/A,N/A
Lonsdale St (South),21,9,5,3,3,10,9,21,20,32,79,105,252,284,249,277,210,215,147,N/A,N/A,N/A,N/A,N/A
Lygon St (West),34,22,7,N/A,15,3,7,9,20,60,93,130,139,274,287,405,219,178,143,N/A,N/A,N/A,N/A,N/A
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,4,1,N/A,N/A,1,3,13,5,16,56,69,65,57,64,102,69,62,50,28,N/A,N/A,N/A,N/A,N/A
Southbank,40,36,16,5,8,15,52,156,294,502,768,993,1131,1314,1312,1352,983,685,403,N/A,N/A,N/A,N/A,N/A
Queen St (West),8,4,4,N/A,3,2,10,15,21,31,27,35,63,51,52,54,47,51,36,N/A,N/A,N/A,N/A,N/A
Lygon St (East),5,5,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128,145,95,74,60,N/A,N/A,N/A,N/A,N/A
Alfred Place,1,N/A,2,N/A,2,4,24,2,10,17,91,58,48,70,73,20,31,69,28,N/A,N/A,N/A,N/A,N/A
Lonsdale St-Spring St (West),3,1,1,2,9,5,2,13,12,41,82,88,72,81,76,94,91,56,46,N/A,N/A,N/A,N/A,N/A
Grattan St-Swanston St (West),17,5,2,N/A,2,1,2,7,14,20,55,45,62,64,79,64,67,52,36,N/A,N/A,N/A,N/A,N/A
Monash Rd-Swanston St (West),11,1,N/A,2,1,1,2,12,21,32,41,32,48,55,62,70,85,56,21,N/A,N/A,N/A,N/A,N/A
Tin Alley-Swanston St (West),6,N/A,1,N/A,N/A,1,1,7,9,14,32,29,40,61,52,48,54,46,15,N/A,N/A,N/A,N/A,N/A
Little Collins St-Swanston St (East),21,13,6,7,9,24,25,30,53,81,199,289,378,472,475,508,550,340,187,N/A,N/A,N/A,N/A,N/A
Flinders La-Swanston St (West),73,56,24,24,35,70,90,87,139,212,410,590,878,921,970,939,853,641,462,N/A,N/A,N/A,N/A,N/A
Pelham St (South),4,8,1,6,2,N/A,1,4,2,15,37,23,18,43,28,49,39,44,23,N/A,N/A,N/A,N/A,N/A
Melbourne Central-Elizabeth St (East),27,39,24,9,12,21,36,36,55,126,337,454,613,776,851,810,774,491,367,N/A,N/A,N/A,N/A,N/A
QVM-Queen St (East),8,2,3,5,6,9,9,36,77,131,233,837,1562,1695,1698,645,251,122,63,N/A,N/A,N/A,N/A,N/A
QVM-Therry St (South),67,65,49,47,30,39,40,43,83,130,263,253,334,455,340,273,192,121,115,N/A,N/A,N/A,N/A,N/A
Faraday St-Lygon St (West),1,2,5,N/A,7,9,10,18,20,116,204,261,313,301,438,274,254,177,93,N/A,N/A,N/A,N/A,N/A
QVM-Franklin St (North),6,11,11,10,7,9,3,17,38,39,102,110,110,157,160,168,118,150,100,N/A,N/A,N/A,N/A,N/A
Elizabeth St-Lonsdale St (South),10,14,3,8,1,1,5,13,15,24,70,137,177,207,225,248,180,170,76,N/A,N/A,N/A,N/A,N/A
Lincoln-Swanston (W),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),8,10,2,2,5,2,4,7,16,27,72,101,172,169,213,233,195,190,153,N/A,N/A,N/A,N/A,N/A
Bourke St Bridge,6,9,2,13,2,N/A,9,12,20,36,50,65,83,122,89,59,69,63,54,N/A,N/A,N/A,N/A,N/A
Bourke St - Spencer St (North),20,23,30,32,8,12,53,36,56,80,140,170,244,244,275,264,235,234,159,N/A,N/A,N/A,N/A,N/A
RMIT Bld 80 - 445 Swanston Street,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,10,16,30,57,75,89,89,89,67,28,N/A,N/A,N/A,N/A,N/A,N/A
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,17,13,5,3,3,6,17,25,45,60,89,141,189,189,246,275,301,222,145,N/A,N/A,N/A,N/A,N/A
380 Elizabeth St,105,61,51,37,45,24,34,66,106,198,405,525,738,922,1042,1053,1083,954,712,N/A,N/A,N/A,N/A,N/A
La Trobe St (North),15,22,16,6,10,7,9,7,11,29,29,36,69,78,84,74,78,114,90,N/A,N/A,N/A,N/A,N/A
231 Bourke St,25,12,17,6,7,12,8,9,34,57,120,190,269,361,337,316,232,212,144,N/A,N/A,N/A,N/A,N/A
Royal Pde - Grattan St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Swanston St - City Square,19,7,3,2,2,14,29,21,42,68,135,228,308,422,360,380,407,256,185,N/A,N/A,N/A,N/A,N/A
State Library - New,35,17,14,20,17,13,27,29,58,111,170,407,614,765,887,950,910,668,425,N/A,N/A,N/A,N/A,N/A
Total,1359,1040,705,587,543,811,1242,1839,3580,6141,10568,15425,20903,24013,24813,23656,20495,15893,10232,0,0,0,0,0


Average Hourly Pedestrian Counts for Sunday over the past 4 weeks. 
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),15,15,6,9,6,6,13,22,53,141,247,403,546,677,684,699,577,335,160,133,63,48,34,29
Bourke Street Mall (South),8,7,10,6,9,4,7,17,40,88,191,319,403,466,494,493,371,195,87,59,40,25,19,15
Melbourne Central,70,62,34,37,25,22,22,41,60,103,184,280,413,495,550,575,517,459,345,252,183,146,123,72
Town Hall (West),24,16,11,11,11,32,46,41,79,130,236,375,476,529,569,551,451,348,195,148,89,69,38,35
Princes Bridge,20,15,22,24,13,37,41,52,86,137,220,286,363,375,382,351,312,262,160,107,108,74,49,36
Flinders Street Station Underpass,17,20,15,11,9,23,44,53,105,160,215,291,367,424,419,392,349,299,215,148,120,94,62,29
Birrarung Marr,6,3,2,5,1,7,14,46,151,227,309,377,392,371,400,345,298,171,79,37,28,20,11,5
Webb Bridge,6,2,1,1,1,5,12,48,104,178,236,293,324,308,291,262,246,195,104,61,42,38,26,14
Southern Cross Station,7,8,5,5,1,3,12,15,23,29,43,51,62,47,62,55,55,48,45,37,19,22,11,11
Victoria Point,8,1,2,2,2,1,6,2,10,16,28,31,36,37,32,30,34,42,40,22,22,11,9,3
Waterfront City,2,3,4,3,1,1,4,14,35,52,77,97,96,100,96,95,85,93,67,49,36,31,17,7
New Quay,8,7,5,5,1,1,8,34,100,152,222,317,320,311,296,310,290,290,223,154,114,99,65,30
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,2,4,2,1,4,10,23,26,56,95,147,148,214,194,204,178,131,107,56,44,30,27,19,10
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),7,8,5,2,11,38,32,18,30,77,105,155,182,200,202,182,141,129,68,48,36,31,15,10
Collins Place (South),9,4,5,4,2,6,13,17,37,54,54,81,82,68,70,58,66,55,34,19,21,13,9,7
Collins Place (North),4,2,1,10,2,3,6,13,11,34,52,61,65,64,58,63,34,25,16,12,9,4,5,2
Chinatown-Swanston St (North),13,4,3,8,2,4,3,6,13,29,82,155,220,259,255,243,229,201,142,103,71,49,25,14
Chinatown-Lt Bourke St (South),6,3,4,2,1,1,2,6,9,20,38,55,82,92,87,74,88,64,55,38,29,21,12,9
Bourke St-Russell St (West),18,8,9,10,1,8,14,12,16,45,99,200,263,303,318,320,304,284,206,136,77,61,40,28
Flinders St-Elizabeth St (East),42,33,29,13,24,68,84,130,185,291,445,629,797,854,951,931,862,794,640,482,394,282,136,59
Spencer St-Collins St (South),13,12,5,6,4,11,9,18,21,28,47,50,50,62,67,77,57,57,51,36,25,26,21,24
Spencer St-Collins St (North),40,37,18,14,16,28,50,83,109,125,165,205,224,241,280,266,229,215,231,147,130,101,92,58
Melbourne Convention Exhibition Centre,16,15,4,9,3,18,49,123,262,359,473,612,666,623,678,675,535,400,216,133,102,75,49,28
QV Market-Elizabeth St (West),50,43,28,29,21,28,45,78,130,302,474,659,744,788,741,560,324,203,201,159,115,96,80,60
QV Market-Peel St,7,5,3,3,3,3,13,18,49,128,161,183,206,200,177,141,90,66,49,34,29,26,12,13
The Arts Centre,14,12,22,21,11,27,36,44,69,111,186,249,257,269,264,237,187,172,120,82,65,48,22,21
St Kilda Rd-Alexandra Gardens,5,2,2,1,N/A,2,8,20,62,103,165,226,226,235,233,221,183,142,75,41,22,13,10,5
Lonsdale St (South),19,9,10,5,4,10,12,16,16,45,75,123,154,181,184,182,167,153,112,96,78,50,29,27
Lygon St (West),25,14,5,1,16,5,5,11,25,46,76,98,131,120,146,137,113,105,93,68,76,59,56,32
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,2,2,4,2,1,5,9,10,21,32,51,65,66,69,65,60,63,44,26,14,9,11,4,2
Southbank,21,9,3,6,4,17,55,117,272,438,630,791,861,923,916,851,671,506,298,169,125,101,67,30
Queen St (West),2,1,2,1,2,7,6,8,13,21,34,45,38,40,67,41,42,34,30,20,25,11,10,4
Lygon St (East),5,4,3,2,7,8,4,5,21,31,50,66,80,89,82,82,59,51,48,35,27,18,7,4
Alfred Place,2,16,N/A,N/A,1,1,10,7,4,15,53,48,52,27,35,56,87,42,20,10,5,4,6,2
Lonsdale St-Spring St (West),1,2,3,2,1,8,5,10,17,35,54,72,95,78,79,67,52,47,31,23,12,11,8,5
Grattan St-Swanston St (West),6,4,2,2,2,2,3,9,14,19,36,45,47,49,51,46,59,57,39,26,21,18,15,10
Monash Rd-Swanston St (West),4,2,1,1,1,2,2,10,13,21,35,38,41,33,36,31,42,53,25,21,15,13,6,7
Tin Alley-Swanston St (West),1,1,1,1,1,2,1,9,13,14,24,30,32,39,31,30,34,43,19,15,8,7,4,5
Little Collins St-Swanston St (East),4,10,6,4,7,18,31,24,43,82,144,203,243,291,326,326,277,208,126,84,56,44,26,18
Flinders La-Swanston St (West),37,37,20,23,24,70,100,82,112,157,254,357,433,475,526,519,410,331,203,175,117,116,95,68
Pelham St (South),3,3,2,2,2,2,1,2,13,14,24,26,25,34,32,31,32,25,19,20,19,9,8,6
Melbourne Central-Elizabeth St (East),30,25,15,11,13,23,60,38,63,104,202,295,323,378,449,453,411,298,215,135,114,100,66,41
QVM-Queen St (East),11,6,3,4,3,6,13,33,75,472,595,679,865,961,1152,483,177,95,53,50,30,28,18,12
QVM-Therry St (South),68,79,66,51,27,27,27,39,73,141,217,283,334,298,279,194,104,93,109,92,97,76,75,68
Faraday St-Lygon St (West),3,1,2,4,6,9,1,12,22,66,132,161,178,166,163,155,111,108,64,46,35,24,8,6
QVM-Franklin St (North),13,12,5,3,3,8,6,14,21,63,85,108,128,148,154,149,112,92,83,45,31,24,32,15
Elizabeth St-Lonsdale St (South),9,3,3,2,3,2,6,10,10,20,51,99,124,138,150,157,130,94,44,37,36,29,17,8
Lincoln-Swanston (W),7,3,4,5,1,2,3,5,9,10,23,28,34,38,44,36,43,45,34,27,30,17,17,6
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),6,3,3,3,2,2,5,13,16,29,58,93,116,137,149,145,162,127,95,73,47,37,19,9
Bourke St Bridge,4,1,1,2,2,2,5,10,17,23,40,49,57,62,48,58,50,42,27,18,16,12,11,6
Bourke St - Spencer St (North),19,15,12,8,11,18,34,31,45,77,110,122,158,192,186,213,168,145,120,99,64,75,44,33
RMIT Bld 80 - 445 Swanston Street,1,N/A,N/A,N/A,N/A,N/A,N/A,4,12,18,37,64,67,81,92,86,70,35,1,2,1,N/A,N/A,N/A
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,10,9,5,4,3,7,8,18,30,64,107,128,161,186,189,210,178,145,120,75,43,35,22,14
380 Elizabeth St,75,48,32,19,24,21,35,51,104,183,297,425,545,657,748,766,722,610,531,369,290,249,162,93
La Trobe St (North),28,22,16,6,7,9,9,11,15,26,42,68,76,98,101,100,105,98,102,78,72,56,39,29
231 Bourke St,10,11,13,9,7,5,7,11,30,45,79,127,159,197,182,179,145,111,80,57,46,31,22,13
Royal Pde - Grattan St,3,3,2,1,1,1,10,14,24,32,40,68,56,57,73,67,54,47,32,22,18,9,6,6
Swanston St - City Square,9,4,4,3,2,10,22,21,30,61,118,175,194,230,234,236,174,147,98,61,37,28,30,19
State Library - New,15,6,7,7,7,10,15,20,47,85,194,319,442,536,585,616,630,482,254,177,110,73,65,22
Total,890,716,512,446,380,716,1126,1672,3145,5703,8868,12086,14391,15600,16414,15146,12699,10164,7031,4960,3729,2925,2005,1254


Average Hourly Pedestrian Counts for Sunday over the past 52 weeks. 
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),223,145,99,88,52,39,36,80,185,547,1156,1818,2345,2682,2796,2775,2598,2275,1775,1163,669,461,288,139
Bourke Street Mall (South),146,110,92,72,41,30,30,55,129,361,861,1364,1702,1886,2014,2024,1837,1421,913,520,353,249,149,81
Melbourne Central,787,511,332,283,146,99,82,131,222,401,693,1035,1557,1850,1897,1842,1768,1823,1761,1728,1444,1117,765,437
Town Hall (West),641,414,275,191,122,115,137,175,277,605,1133,1702,2176,2406,2463,2415,2249,2017,1634,1281,1066,870,543,306
Princes Bridge,573,309,172,133,92,92,168,223,373,708,1323,1822,2273,2371,2399,2366,2253,1952,1531,1264,1115,922,676,341
Flinders Street Station Underpass,619,378,248,174,131,125,179,251,434,704,1046,1326,1498,1580,1683,1712,1706,1506,1309,1050,944,805,602,411
Birrarung Marr,158,68,16,24,16,21,76,109,306,389,489,650,745,595,684,646,878,654,817,454,320,227,221,202
Webb Bridge,25,14,7,4,3,6,19,121,99,150,211,257,284,267,271,261,242,215,175,104,82,63,40,19
Southern Cross Station,31,21,17,15,10,10,28,45,82,107,116,121,130,122,122,121,125,116,144,94,76,69,47,30
Victoria Point,24,14,10,8,5,7,10,22,44,59,84,77,75,66,63,73,70,74,80,64,54,46,30,16
Waterfront City,14,6,3,3,3,2,5,18,38,57,82,104,109,109,114,110,105,120,138,144,132,83,36,17
New Quay,64,28,14,12,6,7,22,145,145,225,326,399,433,424,451,414,399,411,491,436,394,286,145,65
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,274,187,145,114,91,80,100,108,174,260,387,453,521,525,583,607,569,532,487,371,341,284,221,166
State Library,341,220,137,107,49,48,50,69,149,286,587,851,1223,1490,1589,1589,1571,1561,1347,1184,972,756,448,196
Collins St (North),144,95,63,53,36,33,39,77,153,345,721,905,1136,1149,1160,1097,970,674,495,330,318,202,134,72
Collins Place (South),66,36,21,19,15,16,28,44,93,144,197,241,285,272,252,260,237,225,208,150,130,95,77,43
Collins Place (North),41,25,18,13,6,8,13,22,40,75,108,118,142,150,123,123,120,103,96,65,53,41,42,24
Chinatown-Swanston St (North),334,238,135,115,62,31,20,33,63,130,307,566,980,1093,1000,919,857,927,991,936,748,572,364,192
Chinatown-Lt Bourke St (South),427,237,140,113,71,48,29,52,58,122,280,455,737,757,574,529,477,586,702,693,594,412,291,145
Bourke St-Russell St (West),601,528,391,359,247,168,91,87,105,198,368,559,805,929,909,903,871,897,896,839,730,576,431,308
Flinders St-Elizabeth St (East),722,540,420,362,253,205,274,389,586,1024,1469,1852,2119,2345,2393,2407,2469,2389,1979,1743,1487,1225,1002,645
Spencer St-Collins St (South),92,62,44,38,30,30,40,57,109,183,237,239,228,216,237,257,243,229,204,175,164,154,112,64
Spencer St-Collins St (North),330,187,113,93,74,81,153,320,519,712,976,1008,1009,946,1043,1063,1116,1034,967,709,594,482,413,257
Melbourne Convention Exhibition Centre,421,334,217,158,116,83,149,342,446,823,1337,1703,2015,2155,2342,2402,2167,2029,1553,882,747,514,394,267
QV Market-Elizabeth St (West),182,133,104,91,72,62,85,156,310,643,992,1269,1501,1558,1413,1191,784,531,491,474,432,351,260,170
QV Market-Peel St,36,26,17,12,9,11,17,42,81,164,276,347,429,422,390,322,230,166,135,122,103,83,61,33
The Arts Centre,249,141,94,77,61,82,144,232,400,747,1266,1767,2083,2105,2121,2073,1961,1480,880,716,620,475,369,150
St Kilda Rd-Alexandra Gardens,127,68,36,25,16,19,41,80,280,418,552,721,838,904,905,858,812,655,482,387,319,269,223,82
Lonsdale St (South),576,475,329,314,201,215,109,104,135,219,366,494,672,773,707,720,692,726,736,708,611,495,388,281
Lygon St (West),192,94,39,22,21,11,19,40,71,127,179,243,307,368,407,445,424,432,496,526,520,405,267,119
City Square
Flinders St-Spring St (West),57,30,18,12,10,11,22,32,68,97,117,144,161,146,133,108,170,110,138,64,45,40,46,22
Flinders St-Spark La,73,37,19,11,10,11,26,33,57,98,141,186,197,169,164,161,182,156,144,93,73,58,60,47
Southbank,486,256,132,77,46,48,118,338,501,864,1269,1636,1878,1901,1984,1876,1762,1655,1525,1260,1115,865,568,321
Queen St (West),333,275,225,192,75,26,19,31,64,105,140,154,161,153,158,150,159,143,138,127,117,95,70,45
Lygon St (East),53,30,15,11,9,8,7,16,39,79,102,153,235,263,250,234,208,214,236,240,231,172,92,37
Alfred Place,48,27,14,10,11,7,13,25,66,105,110,116,102,90,90,87,87,85,79,68,48,61,40,28
Lonsdale St-Spring St (West),80,49,23,15,10,13,12,30,64,111,173,237,284,398,199,208,259,196,250,182,115,91,250,37
Grattan St-Swanston St (West),25,16,12,9,6,6,11,25,44,69,120,161,180,201,183,164,147,159,140,115,89,71,57,39
Monash Rd-Swanston St (West),19,13,7,4,2,2,5,13,30,61,90,99,119,120,116,111,106,112,88,72,56,43,32,26
Tin Alley-Swanston St (West),13,9,5,4,2,2,3,10,21,39,57,62,72,75,77,71,65,68,52,40,33,27,21,13
Little Collins St-Swanston St (East),373,273,180,139,76,73,103,114,203,358,645,871,1263,1338,1455,1410,1357,1224,1128,963,890,665,420,217
Flinders La-Swanston St (West),742,521,329,278,176,195,263,307,478,842,1421,1934,2305,2457,2462,2464,2317,2062,1698,1442,1227,1093,782,503
Pelham St (South),13,7,3,3,3,2,2,7,22,38,59,69,90,94,87,77,83,84,76,58,44,37,24,18
Melbourne Central-Elizabeth St (East),314,236,155,132,90,77,98,163,259,547,882,1117,1439,1586,1619,1524,1470,1384,1176,970,701,508,340,206
QVM-Queen St (East),50,35,21,18,13,19,28,85,147,322,534,702,861,915,880,729,550,278,199,181,133,111,82,47
QVM-Therry St (South),95,81,64,51,38,35,37,59,115,234,364,476,542,543,459,359,226,145,135,125,119,102,88,80
Faraday St-Lygon St (West),54,18,8,6,9,7,8,25,61,147,296,401,528,586,602,590,537,491,469,397,353,254,105,39
QVM-Franklin St (North),44,29,20,17,13,13,19,35,57,125,194,238,286,306,290,251,194,159,148,143,107,83,64,41
Elizabeth St-Lonsdale St (South),351,258,166,181,77,40,26,42,114,179,298,397,501,660,556,526,501,551,416,377,320,232,149,87
Lincoln-Swanston (W),34,21,15,12,9,7,8,19,32,60,86,103,114,137,134,121,120,138,134,111,91,76,57,35
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),118,77,54,44,30,16,19,49,98,172,296,367,446,494,449,412,396,404,384,347,265,204,132,68
Bourke St Bridge,55,31,18,14,12,13,30,110,244,188,254,339,583,421,650,856,710,554,538,330,132,117,132,45
Bourke St - Spencer St (North),231,142,107,77,50,48,80,150,232,401,622,678,720,670,681,694,710,675,664,460,370,321,261,170
RMIT Bld 80 - 445 Swanston Street,5,4,4,3,2,2,4,13,38,87,137,184,206,211,215,207,177,156,117,87,32,11,8,5
Flinders La-Swanston St (West) Temporary,925,723,452,331,187,180,276,281,479,905,1535,2135,2642,2881,2836,2680,2675,2231,1792,1308,1128,826,503,306
RMIT Building 14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
380 Elizabeth St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Trobe St (North),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231 Bourke St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Royal Pde - Grattan St,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Swanston St - City Square,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
State Library - New,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Total,13051,8842,5814,4743,3023,2645,3430,5641,9639,17166,28067,37425,46272,49330,49834,48594,45968,41194,35777,28872,23966,18752,13422,7760
